[2026-04-19T17:17:23.477Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-19T17:17:23.477Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (1ms, ?B)
[2026-04-19T17:17:23.478Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-04-19T17:22:59.141Z] GET http://localhost:8765/ → 200 (4ms, 44954B)
[2026-04-19T17:22:59.149Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 18356B)
[2026-04-19T17:22:59.149Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T17:22:59.149Z] GET http://localhost:8765/headshot.jpg → 200 (?ms, 19299B)
[2026-04-19T17:22:59.192Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-19T17:22:59.193Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (?ms, ?B)
[2026-04-19T17:22:59.193Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-04-19T17:31:37.405Z] GET http://localhost:8765/ → 200 (1ms, 44982B)
[2026-04-19T17:31:37.409Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 18356B)
[2026-04-19T17:31:37.409Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T17:31:37.409Z] GET http://localhost:8765/headshot.jpg → 200 (?ms, 19299B)
[2026-04-19T17:31:37.444Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
[2026-04-19T17:31:37.445Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (?ms, ?B)
[2026-04-19T17:31:37.445Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (1ms, ?B)
